GeneID	Symbol	Description	log2(fold change)(cancer primaire vs controle)	-log10(Pvalue)(cancer primaire vs controle)	log2(fold change)(controle vs metastase)	-log10(Pvalue)(controle vs metastase)
104266957	KBTBD11-OT1	KBTBD11 overlapping transcript 1	-1.527	3.705	2.164	7.487
285	ANGPT2	angiopoietin 2	1.9	7.546	-1.532	5.597
1671	DEFA6	defensin alpha 6	2.737	2.389	-3.52	4.142
137075	CLDN23	claudin 23	-1.726	5.168	2.326	9.993
640	BLK	BLK proto-oncogene, Src family tyrosine kinase	-1.946	4.359	2.363	6.873
11178	LZTS1	leucine zipper tumor suppressor 1	2.269	9.219	-2.63	13.621
2675	GFRA2	GDNF family receptor alpha 2	-1.384	2.368	1.745	3.938
254896	LOC254896	uncharacterized LOC254896	1.654	7.028	-1.717	8.275
8794	TNFRSF10C	TNF receptor superfamily member 10c	1.216	4.039	-1.248	4.695
4017	LOXL2	lysyl oxidase like 2	1.885	7.366	-1.245	3.807
100507156	LOC100507156	uncharacterized LOC100507156	1.877	7.663	-1.287	4.188
6781	STC1	stanniocalcin 1	2.579	9.288	-3.012	13.945
10863	ADAM28	ADAM metallopeptidase domain 28	-1.454	5.402	2.073	11.624
5368	PNOC	prepronociceptin	-1.71	3.794	2.218	6.672
1846	DUSP4	dual specificity phosphatase 4	2.04	5.909	-2.139	7.144
78986	DUSP26	dual specificity phosphatase 26	-1.522	2.41	2.908	8.222
137970	UNC5D	unc-5 netrin receptor D	-2.359	2.39	3.286	4.597
100507420	LINC01605	long intergenic non-protein coding RNA 1605	1.909	3.712	-2.338	5.991
84296	GINS4	GINS complex subunit 4	1.254	5.136	-1.545	8.409
5591	PRKDC	protein kinase, DNA-activated, catalytic subunit	1.147	5.904	-1.217	7.294
389658	ALKAL1	ALK and LTK ligand 1	3.061	6.138	-2.368	4.221
23212	RRS1	ribosome biogenesis regulator 1 homolog	1.169	5.698	-1.477	9.765
641638	SNHG6	small nucleolar RNA host gene 6	1.028	4.569	-1.252	7.305
23213	SULF1	sulfatase 1	2.531	8.694	-2.011	6.276
286190	LACTB2-AS1	LACTB2 antisense RNA 1	1.004	4.436	-1.028	5.145
51110	LACTB2	lactamase beta 2	1.028	5.074	-1.062	5.971
56704	JPH1	junctophilin 1	1.165	3.299	-1.102	3.322
79776	ZFHX4	zinc finger homeobox 4	2.005	3.817	-2.396	5.893
11075	STMN2	stathmin 2	-2.105	3.953	2.667	6.781
55824	PAG1	phosphoprotein membrane anchor with glycosphingolipid microdomains 1	-1.174	6.036	1.31	8.177
2167	FABP4	fatty acid binding protein 4	-1.279	2.056	1.741	3.887
1875	E2F5	E2F transcription factor 5	1.106	4.71	-1.126	5.402
100996348	CA3-AS1	CA3 antisense RNA 1	-1.715	5.178	1.872	6.66
245972	ATP6V0D2	ATPase H+ transporting V0 subunit d2	-1.821	4.371	1.77	4.603
8767	RIPK2	receptor interacting serine/threonine kinase 2	1.325	8.613	-1.553	13.004
51633	OTUD6B	OTU deubiquitinase 6B	1.038	5.039	-1.255	7.954
137392	CIBAR1	CBY1 interacting BAR domain containing 1	1.032	5.983	-1.24	9.326
2669	GEM	GTP binding protein overexpressed in skeletal muscle	1.154	2.347	-1.16	2.609
25788	RAD54B	RAD54 homolog B	1.545	7.575	-1.738	10.481
100861412	FSBP	fibrinogen silencer binding protein	1.073	4.125	-1.412	7.643
105375650	MIR3150BHG	MIR3150B host gene	-1.591	2.374	2.259	4.669
55353	LAPTM4B	lysosomal protein transmembrane 4 beta	1.24	4.174	-1.489	6.502
10940	POP1	POP1 homolog, ribonuclease P/MRP subunit	1.242	6.624	-1.276	7.687
115908	CTHRC1	collagen triple helix repeat containing 1	3.911	17.143	-3.904	18.492
25879	DCAF13	DDB1 and CUL4 associated factor 13	1.193	7.353	-1.36	10.411
340419	RSPO2	R-spondin 2	-2.057	2.338	3.9	8.099
84955	NUDCD1	NudC domain containing 1	1.309	8.696	-1.448	11.717
105375728	LOC105375728	uncharacterized LOC105375728	1.839	8.181	-2.11	11.847
79075	DSCC1	DNA replication and sister chromatid cohesion 1	1.888	8.155	-2.24	12.592
27085	MTBP	MDM2 binding protein	1.391	5.494	-1.631	8.189
6641	SNTB1	syntrophin beta 1	1.591	8.498	-2.549	24.11
29028	ATAD2	ATPase family AAA domain containing 2	1.501	7.199	-1.819	11.46
6713	SQLE	squalene epoxidase	1.58	5.042	-2.026	8.88
105375751	LOC105375751	uncharacterized LOC105375751	1.184	5.807	-1.384	8.593
105375752	LOC105375752		4.225	9.898	-4.56	12.752
103021165	CASC19	cancer susceptibility 19	3.721	8.172	-3.805	9.435
100507056	CCAT1	colon cancer associated transcript 1	3.973	15.689	-4.347	20.526
103021164	CASC21	cancer susceptibility 21	3.716	7.347	-4.734	13.004
727677	CASC8	cancer susceptibility 8	2.213	4.726	-2.497	6.58
5462	POU5F1B	POU class 5 homeobox 1B	2.487	6.15	-3.173	10.779
4609	MYC	MYC proto-oncogene, bHLH transcription factor	1.745	7.483	-1.958	10.28
5820	PVT1	Pvt1 oncogene	1.544	5.622	-2.058	10.669
23639	DNAAF11	dynein axonemal assembly factor 11	1.305	3.927	-1.23	3.918
7038	TG	thyroglobulin	3.312	8.488	-3.195	8.779
8840	CCN4	cellular communication network factor 4	2.896	10.608	-2.921	11.941
102723635	LOC102723635	uncharacterized LOC102723635	2.694	7.016	-2.591	7.156
51059	FAM135B	family with sequence similarity 135 member B	-2.538	4.215	3.186	6.984
169044	COL22A1	collagen type XXII alpha 1 chain	1.892	3.371	-1.992	4.116
101928037	LOC101928037	uncharacterized LOC101928037	3.263	3.23	-3.069	3.21
11156	PTP4A3	protein tyrosine phosphatase 4A3	2.233	7.556	-2.306	8.897
575	ADGRB1	adhesion G protein-coupled receptor B1	-1.396	5.61	1.534	7.3
4061	LY6E	lymphocyte antigen 6 family member E	1.285	3.314	-1.959	7.995
338328	GPIHBP1	glycosylphosphatidylinositol anchored high density lipoprotein binding protein 1	-1.091	2.869	1.095	3.177
116447	TOP1MT	DNA topoisomerase I mitochondrial	1.265	4.913	-1.559	8.038
78998	RHPN1-AS1	RHPN1 antisense RNA 1 (head to head)	1.885	4.714	-2.273	7.432
114822	RHPN1	rhophilin Rho GTPase binding protein 1	1.856	5.607	-2.143	8.115
642475	MROH6	maestro heat like repeat family member 6	1.557	3.893	-1.251	2.924
65263	PYCR3	pyrroline-5-carboxylate reductase 3	1.126	6.374	-1.349	9.88
225689	MAPK15	mitogen-activated protein kinase 15	2.768	7.819	-3.069	10.528
100616318	MIR4664	microRNA 4664	1.423	4.645	-1.58	6.258
100128338	FAM83H-AS1	replaced by ID 642574	2.19	8.814	-2.298	10.693
2907	GRINA	glutamate ionotropic receptor NMDA type subunit associated protein 1	1.106	6.942	-1.435	12.608
23246	BOP1	BOP1 ribosomal biogenesis factor	1.148	5.122	-1.535	9.756
9401	RECQL4	RecQ like helicase 4	1.316	4.321	-1.638	7.195
92949	ADAMTSL1	ADAMTS like 1	-1.001	2.37	1.405	4.799
1029	CDKN2A	cyclin dependent kinase inhibitor 2A	1.493	3.722	-1.664	5.038
1030	CDKN2B	cyclin dependent kinase inhibitor 2B	-1.701	3.456	2.934	10.522
64922	LRRC19	leucine rich repeat containing 19	-1.387	2.317	2.336	6.557
768	CA9	carbonic anhydrase 9	4.239	9.556	-5.238	16.084
646962	HRCT1	histidine rich carboxyl terminus 1	-1.467	2.612	2.608	8.232
9833	MELK	maternal embryonic leucine zipper kinase	1.423	4.894	-1.447	5.605
5079	PAX5	paired box 5	-1.703	2.421	2.489	5.269
441430	ANKRD20A2P	ankyrin repeat domain 20 family member A2, pseudogene	-1.644	3.445	2.223	6.255
110006327	ANKRD20A4-ANKRD20A20P	ANKRD20A4-ANKRD20A20P readthrough	-1.473	2.158	2.396	5.44
100132154	LOC100132154	ankyrin repeat domain 30B pseudogene	2.063	2.62	-2.542	4.223
441425	ANKRD20A3P	ankyrin repeat domain 20 family member A3, pseudogene	-1.556	3.133	2.474	7.505
84210	ANKRD20A1	ankyrin repeat domain 20 family member A1	-1.47	2.587	1.987	4.669
572558	PGM5-AS1	PGM5 antisense RNA 1	-1.735	2.378	3.256	7.336
140803	TRPM6	transient receptor potential cation channel subfamily M member 6	-2.003	2.66	3.584	8.516
5125	PCSK5	proprotein convertase subtilisin/kexin type 5	-1.3	3.262	2.371	11.012
64078	SLC28A3	solute carrier family 28 member 3	1.302	2.139	-1.396	2.664
1164	CKS2	CDC28 protein kinase regulatory subunit 2	1.425	6.445	-1.399	6.882
3376	IARS1	isoleucyl-tRNA synthetase 1	1.079	8.067	-1.009	7.895
100188953	LINC00092	long intergenic non-protein coding RNA 92	-1.981	7.199	2.389	10.476
195828	ZNF367	zinc finger protein 367	1.128	4.675	-1.529	9.137
1515	CTSV	cathepsin V	1.454	2.73	-1.899	4.895
116443	GRIN3A	glutamate ionotropic receptor NMDA type subunit 3A	-1.533	5.552	1.284	4.453
9314	KLF4	KLF transcription factor 4	-1.668	4.321	2.398	9.408
4593	MUSK	muscle associated receptor tyrosine kinase	-2.056	3.096	3.529	9.001
138065	RNF183	ring finger protein 183	2.177	5.465	-2.242	6.395
85301	COL27A1	collagen type XXVII alpha 1 chain	1.343	3.837	-1.552	5.574
105376224	LOC105376224	uncharacterized LOC105376224	1.249	2.845	-1.523	4.524
286207	CFAP157	cilia and flagella associated protein 157	1.212	5.614	-1.131	5.465
389791	PTGES2-AS1	PTGES2 antisense RNA 1 (head to head)	1.472	3.627	-1.116	2.428
389792	IER5L	immediate early response 5 like	1.124	3.719	-1.808	9.954
105376292	LOC105376292	uncharacterized LOC105376292	1.382	2.18	-1.452	2.617
8328	GFI1B	growth factor independent 1B transcriptional repressor	-1.992	3.806	3.06	8.72
100996574	LOC100996574		2.278	4.122	-2.379	4.947
1056	CEL	carboxyl ester lipase	3.736	7.662	-3.705	8.359
1057	CELP	carboxyl ester lipase pseudogene	2.833	5.869	-2.86	6.612
1289	COL5A1	collagen type V alpha 1 chain	1.724	6.492	-1.292	4.227
101448202	LOC101448202	uncharacterized LOC101448202	1.694	5.168	-1.323	3.648
138162	PIERCE1	piercer of microtubule wall 1	1.444	4.119	-1.41	4.353
105376325	LOC105376325	uncharacterized LOC105376325	1.319	3.59	-1.69	6.35
89958	SAPCD2	suppressor APC domain containing 2	1.535	4.139	-1.825	6.323
375775	PNPLA7	patatin like phospholipase domain containing 7	-1.071	2.579	1.058	2.791
79861	TUBAL3	tubulin alpha like 3	-1.57	2.735	2.754	8.423
55388	MCM10	minichromosome maintenance 10 replication initiation factor	1.814	6.944	-1.872	8.124
414149	ACBD7	acyl-CoA binding domain containing 7	1.165	2.716	-1.319	3.754
8516	ITGA8	integrin subunit alpha 8	-1.157	3.748	2.009	11.565
653567	TMEM236	transmembrane protein 236	-1.694	2.626	2.71	6.821
10529	NEBL	nebulette	1.743	7.318	-1.881	9.338
100128511	NEBL-AS1	NEBL antisense RNA 1	1.315	3.89	-1.496	5.481
57512	GPR158	G protein-coupled receptor 158	-1.335	2.588	1.901	5.227
53904	MYO3A	myosin IIIA	-1.829	2.744	1.707	2.685
8187	ZNF239	zinc finger protein 239	1.603	7.946	-1.471	7.505
643236	TMEM72	transmembrane protein 72	-2.106	3.012	3.483	8.382
105378286	LOC105378286	uncharacterized LOC105378286	-1.006	6.053	1.064	7.304
288	ANK3	ankyrin 3	-1.206	5.63	1.463	8.936
983	CDK1	cyclin dependent kinase 1	1.51	5.084	-1.596	6.251
1763	DNA2	DNA replication helicase/nuclease 2	1.101	3.629	-1.285	5.357
9188	DDX21	DExD-box helicase 21	1.284	6.877	-1.46	9.649
80201	HKDC1	hexokinase domain containing 1	1.036	2.381	-1.227	3.553
50674	NEUROG3	neurogenin 3	-2.373	4.62	1.689	2.856
5464	PPA1	inorganic pyrophosphatase 1	1.06	7.096	-1.161	9.281
64106	NPFFR1	neuropeptide FF receptor 1	2.633	7.452	-3.307	12.816
27143	PALD1	phosphatase domain containing paladin 1	1.385	4.486	-1.833	8.377
54541	DDIT4	DNA damage inducible transcript 4	1.334	2.902	-2.108	7.432
109617000	SNORA11F	small nucleolar RNA, H/ACA box 11F	1.17	3.253	-1.508	5.824
5328	PLAU	plasminogen activator, urokinase	1.905	7.812	-1.365	4.677
414236	C10orf55	chromosome 10 putative open reading frame 55	1.869	7.845	-1.397	5.06
170425	LINC00858	long intergenic non-protein coding RNA 858	4.38	8.616	-4.364	9.468
9060	PAPSS2	3'-phosphoadenosine 5'-phosphosulfate synthase 2	-1.087	3.377	1.61	7.723
3363	HTR7	5-hydroxytryptamine receptor 7	-1.475	3.971	1.819	6.34
55165	CEP55	centrosomal protein 55	1.437	4.807	-1.593	6.465
9211	LGI1	leucine rich glioma inactivated 1	-2.158	2.037	3.427	4.984
159371	SLC35G1	solute carrier family 35 member G1	-1.284	7.064	1.41	9.267
51196	PLCE1	phospholipase C epsilon 1	-1.29	3.906	1.888	8.776
100128054	PLCE1-AS1	PLCE1 antisense RNA 1	-1.302	3.596	1.801	7.089
3070	HELLS	helicase, lymphoid specific	1.252	5.13	-1.432	7.31
23223	RRP12	ribosomal RNA processing 12 homolog	1.172	7.047	-1.427	11.301
80019	UBTD1	ubiquitin domain containing 1	1.105	3.264	-1.178	4.074
401647	GOLGA7B	golgin A7 family member B	1.429	2.719	-1.43	3.016
6319	SCD	stearoyl-CoA desaturase	1.832	5.777	-2.555	11.985
56652	TWNK	twinkle mtDNA helicase	1.071	6.011	-1.281	9.294
3195	TLX1	T cell leukemia homeobox 1	3.446	7.611	-3.793	10.107
10360	NPM3	nucleophosmin/nucleoplasmin 3	1.02	3.28	-1.111	4.261
9148	NEURL1	neuralized E3 ubiquitin protein ligase 1	-1.37	2.045	2.682	7.575
100505839	SH3PXD2A-AS1	SH3PXD2A antisense RNA 1	2.173	3.581	-2.333	4.534
282997	PDCD4-AS1	PDCD4 antisense RNA 1	-1.252	4.931	1.803	10.518
27250	PDCD4	programmed cell death 4	-1.182	4.322	1.76	10.05
100616113	MIR4680	microRNA 4680	-1.197	4.692	1.75	10.475
150	ADRA2A	adrenoceptor alpha 2A	-1.349	2.765	1.532	3.849
79949	PLEKHS1	pleckstrin homology domain containing S1	1.609	3.557	-1.738	4.551
153	ADRB1	adrenoceptor beta 1	-1.302	2.012	2.352	6.221
340706	VWA2	von Willebrand factor A domain containing 2	2.782	8.516	-3.176	12.186
196051	PLPP4	phospholipid phosphatase 4	2.369	3.637	-2.067	3.158
105378520	LOC105378520	uncharacterized LOC105378520	-2.177	2.094	2.94	3.881
118663	BTBD16	BTB domain containing 16	1.738	3.299	-2.486	7.153
8038	ADAM12	ADAM metallopeptidase domain 12	4.093	21.51	-3.041	12.678
4288	MKI67	marker of proliferation Ki-67	1.13	3.213	-1.259	4.347
105378570	LOC105378570		-1.317	2.818	2.551	10.114
105378569	LOC105378569	uncharacterized LOC105378569	-1.505	3.139	2.703	9.656
27287	VENTX	VENT homeobox	2.13	5.205	-1.644	3.582
8519	IFITM1	interferon induced transmembrane protein 1	1.513	5.694	-1.347	5.092
10410	IFITM3	interferon induced transmembrane protein 3	1.529	6.741	-1.789	9.97
105376504	LOC105376504		2.273	4.435	-2.243	4.788
338707	B4GALNT4	beta-1,4-N-acetyl-galactosaminyltransferase 4	1.966	3.8	-2.422	6.2
53841	CDHR5	cadherin related family member 5	-1.157	2.356	2.031	7.219
387264	KRTAP5-1	keratin associated protein 5-1	1.642	4.934	-1.414	4.14
7054	TH	tyrosine hydroxylase	2.103	2.681	-2.898	5.344
430	ASCL2	achaete-scute family bHLH transcription factor 2	2.637	7.405	-2.983	10.327
5003	SLC22A18AS	SLC22A18 antisense RNA	-1.156	4.272	1.7	9.665
7262	PHLDA2	pleckstrin homology like domain family A member 2	1.107	2.956	-1.226	3.952
79608	RIC3	RIC3 acetylcholine receptor chaperone	-1.595	3.89	1.58	4.247
105376541	NRIP3-DT	NRIP3 divergent transcript	-1.284	2.314	2.24	6.597
57758	SCUBE2	signal peptide, CUB domain and EGF like domain containing 2	-1.246	2.074	2.295	6.841
105376567	LOC105376567	uncharacterized LOC105376567	-2.422	2.703	3.132	4.749
10196	PRMT3	protein arginine methyltransferase 3	1.102	7.718	-1.102	8.548
2620	GAS2	growth arrest specific 2	2.14	5.802	-3.144	13.414
338645	LUZP2	leucine zipper protein 2	-2.218	3.846	2.936	7.04
103695435	BBOX1-AS1	BBOX1 antisense RNA 1	3.22	3.944	-3.53	5.189
105376600	LOC105376600	uncharacterized LOC105376600	3.115	4.053	-3.392	5.274
81930	KIF18A	kinesin family member 18A	1.215	4.265	-1.157	4.326
5954	RCN1	reticulocalbin 1	1.233	7.521	-1.312	9.36
7490	WT1	WT1 transcription factor	5.543	8.212	-5.646	9.429
25758	KIAA1549L	KIAA1549 like	2.979	4.398	-3.094	5.243
55226	NAT10	N-acetyltransferase 10	1.005	7.702	-1.047	9.229
960	CD44	CD44 molecule (Indian blood group)	1.09	4.291	-1.131	5.101
24147	FJX1	four-jointed box kinase 1	2.426	8.84	-2.837	13.316
143458	LDLRAD3	low density lipoprotein receptor class A domain containing 3	1.664	8.165	-1.974	12.596
120071	LARGE2	LARGE xylosyl- and glucuronyltransferase 2	3.168	8.225	-3.728	12.501
374393	FAM111B	FAM111 trypsin like peptidase B	1.249	4.387	-1.326	5.443
6947	TCN1	transcobalamin 1	3.794	7.33	-3.169	5.778
931	MS4A1	membrane spanning 4-domains A1	-1.732	2.752	2.189	4.64
79080	CCDC86	coiled-coil domain containing 86	1.099	6.409	-1.311	9.845
11251	PTGDR2	prostaglandin D2 receptor 2	-1.433	5.107	2.163	12.138
54972	TMEM132A	transmembrane protein 132A	1.846	7.958	-1.808	8.496
3992	FADS1	fatty acid desaturase 1	1.466	3.833	-1.959	7.272
9415	FADS2	fatty acid desaturase 2	1.357	2.918	-1.733	5.044
9301	SNORD27	small nucleolar RNA, C/D box 27	1.062	2.577	-1.186	3.467
54979	PLAAT2	phospholipase A and acyltransferase 2	-2.032	3.774	2.86	7.758
11145	PLAAT3	phospholipase A and acyltransferase 3	1.331	2.793	-1.812	5.41
65998	ZFTA	zinc finger translocation associated	1.096	4.843	-1.158	5.961
144097	SPINDOC	spindlin interactor and repressor of chromatin binding	1.295	6.023	-1.349	7.195
10004	NAALADL1	N-acetylated alpha-linked acidic dipeptidase like 1	-1.792	5.805	2.481	11.829
113130	CDCA5	cell division cycle associated 5	1.467	5.415	-1.566	6.783
8061	FOSL1	FOS like 1, AP-1 transcription factor subunit	3.053	6.258	-3.549	9.173
6712	SPTBN2	spectrin beta, non-erythrocytic 2	1.912	7.285	-2.722	16.02
254439	C11orf86	chromosome 11 open reading frame 86	-2.136	2.696	3.841	8.662
5790	PTPRCAP	protein tyrosine phosphatase receptor type C associated protein	-1.176	4.215	1.237	5.127
222	ALDH3B2	aldehyde dehydrogenase 3 family member B2	2.685	3.312	-2.698	3.715
26579	MYEOV	myeloma overexpressed	2.308	5.205	-2.524	6.821
105369370	LOC105369370	uncharacterized LOC105369370	2.724	5.111	-2.707	5.607
595	CCND1	cyclin D1	1.14	6.54	-1.538	12.797
1717	DHCR7	7-dehydrocholesterol reductase	1.198	4.557	-1.723	9.955
58473	PLEKHB1	pleckstrin homology domain containing B1	1.27	2.684	-1.424	3.648
283208	P4HA3	prolyl 4-hydroxylase subunit alpha 3	2.744	8.279	-1.889	4.572
283212	KLHL35	kelch like family member 35	2.527	10.605	-1.917	6.881
81544	GDPD5	glycerophosphodiester phosphodiesterase domain containing 5	2.031	7.115	-2.476	11.442
871	SERPINH1	serpin family H member 1	1.251	6.624	-1.025	5.061
80168	MOGAT2	monoacylglycerol O-acyltransferase 2	-1.255	2.008	1.729	3.9
7481	WNT11	Wnt family member 11	1.376	2.197	-2.196	5.62
220042	DDIAS	DNA damage induced apoptosis suppressor	1.603	5.759	-1.804	7.943
50507	NOX4	NADPH oxidase 4	3.371	9.855	-3.894	14.531
10003	NAALAD2	N-acetylated alpha-linked acidic dipeptidase 2	-1.183	2.733	1.149	2.86
677805	SNORA18	small nucleolar RNA, H/ACA box 18	1.135	4.291	-1.28	5.938
677822	SNORA40	small nucleolar RNA, H/ACA box 40	1.051	3.268	-1.246	4.945
23052	ENDOD1	endonuclease domain containing 1	-1.111	4.178	1.629	9.43
5241	PGR	progesterone receptor	-1.25	2.951	1.702	5.65
4316	MMP7	matrix metallopeptidase 7	5.543	12.047	-6.56	18.609
4319	MMP10	matrix metallopeptidase 10	3.33	5.254	-2.05	2.419
4321	MMP12	matrix metallopeptidase 12	1.835	2.741	-2.083	3.813
80310	PDGFD	platelet derived growth factor D	-1.111	2.429	1.56	4.926
57569	ARHGAP20	Rho GTPase activating protein 20	-1.097	2.057	1.639	4.593
5450	POU2AF1	POU class 2 homeobox associating factor 1	-1.497	2.895	2.334	7.225
80975	TMPRSS5	transmembrane serine protease 5	3.031	4.498	-4.27	9.461
120406	NXPE2	neurexophilin and PC-esterase domain family member 2	-1.779	2.405	2.731	5.752
105369504	LOC105369504	replaced by ID 54827	-2.052	2.068	3.204	5.054
84000	TMPRSS13	transmembrane serine protease 13	2.316	3.754	-3.024	6.818
79849	NHERF4	NHERF family PDZ scaffold protein 4	-1.388	2.655	2.376	7.816
283152	CCDC153	coiled-coil domain containing 153	-1.064	4.045	1.739	10.947
9099	USP2	ubiquitin specific peptidase 2	-1.849	3.665	2.497	7.051
7070	THY1	Thy-1 cell surface antigen	1.793	5.53	-1.093	2.507
23650	TRIM29	tripartite motif containing 29	3.426	7.575	-3.597	9.201
105369529	LOC105369529	uncharacterized LOC105369529	1.512	2.816	-1.298	2.358
101929340	ESAM-AS1	ESAM antisense RNA 1	-1.197	2.741	1.898	6.877
63876	PKNOX2	PBX/knotted 1 homeobox 2	-1.107	2.517	1.349	3.926
1111	CHEK1	checkpoint kinase 1	1.077	5.224	-1.117	6.206
50863	NTM	neurotrimin	1.243	2.354	-1.13	2.195
107984413	LOC107984413	uncharacterized LOC107984413	1.534	3.148	-1.398	2.944
105369592	IQSEC3-AS1	IQSEC3 antisense RNA 1	2.231	5.749	-1.278	2.276
2305	FOXM1	forkhead box M1	1.093	3.452	-1.216	4.661
7004	TEAD4	TEA domain transcription factor 4	1.84	11.793	-1.88	13.532
10635	RAD51AP1	RAD51 associated protein 1	1.177	4.313	-1.361	6.263
83461	CDCA3	cell division cycle associated 3	1.202	4.168	-1.401	6.139
283316	CD163L1	CD163 molecule like 1	-2.064	5.821	2.584	9.793
3820	KLRB1	killer cell lectin like receptor B1	-1.503	3.961	1.275	3.282
107987174	LOC107987174		-1.527	3.899	1.222	2.919
160365	CLECL1P	C-type lectin like 1, pseudogene	-1.515	5.061	1.435	5.049
283420	CLEC9A	C-type lectin domain containing 9A	-1.859	6.178	2.11	8.296
8302	KLRC4	killer cell lectin like receptor C4	-1.382	4	1.249	3.7
3823	KLRC3	killer cell lectin like receptor C3	-1.296	3.202	1.592	5.015
3822	KLRC2	killer cell lectin like receptor C2	-1.397	2.683	1.602	3.75
3821	KLRC1	killer cell lectin like receptor C1	-1.253	2.735	1.508	4.145
101060038	LINC02446	long intergenic non-protein coding RNA 2446	-1.519	2.498	1.374	2.31
81575	APOLD1	apolipoprotein L domain containing 1	1.983	5.191	-1.513	3.525
283422	LINC01559	long intergenic non-protein coding RNA 1559	-1.251	2.299	1.604	3.954
2904	GRIN2B	glutamate ionotropic receptor NMDA type subunit 2B	2.104	5.995	-3.258	15.388
79785	RERGL	RERG like	-1.93	2.242	3.271	6.285
101928387	LOC101928387	uncharacterized LOC101928387	-1.146	4.18	1.437	6.743
3764	KCNJ8	potassium inwardly rectifying channel subfamily J member 8	1.396	2.038	-2.033	4.39
4033	IRAG2	inositol 1,4,5-triphosphate receptor associated 2	-1.563	3.711	1.702	4.807
56938	BMAL2	basic helix-loop-helix ARNT like 2	1.9	13.435	-2.034	16.997
101928646	BMAL2-AS1	BMAL2 antisense RNA 1	1.868	6.403	-1.997	7.996
105369724	LOC105369724	uncharacterized LOC105369724	-2.615	4.139	3.916	9.371
144402	CPNE8	copine 8	-1.21	3.432	1.466	5.413
225	ABCD2	ATP binding cassette subfamily D member 2	-1.182	3.047	1.54	5.368
1272	CNTN1	contactin 1	-1.787	2.486	2.71	5.783
51054	PLEKHA8P1	pleckstrin homology domain containing A8 pseudogene 1	1.364	5.912	-1.431	7.147
23109	DDN	dendrin	3.404	9.338	-3.72	12.303
10024	TROAP	trophinin associated protein	1.104	3.007	-1.267	4.287
105369763	LOC105369763	uncharacterized LOC105369763	1.75	3.615	-1.704	3.821
29127	RACGAP1	Rac GTPase activating protein 1	1.056	4.436	-1.067	5.029
41	ASIC1	acid sensing ion channel subunit 1	1.191	2.594	-1.219	2.989
11226	GALNT6	polypeptide N-acetylgalactosaminyltransferase 6	1.165	3.325	-1.397	5.143
144501	KRT80	keratin 80	4.095	7.556	-4.638	10.59
109729127	KRT7-AS	KRT7 antisense RNA 1	2.452	4.35	-4.115	12.939
3854	KRT6B	keratin 6B	5.774	9.031	-7.75	17.933
3695	ITGB7	integrin subunit beta 7	-1.232	5.103	1.438	7.527
4778	NFE2	nuclear factor, erythroid 2	1.521	2.169	-2.365	5.319
53831	GPR84	G protein-coupled receptor 84	2.049	3.734	-2.895	7.889
51561	IL23A	interleukin 23 subunit alpha	2.059	4.165	-2.706	7.69
6472	SHMT2	serine hydroxymethyltransferase 2	1.001	4.745	-1.522	11.573
56901	NDUFA4L2	NDUFA4 mitochondrial complex associated like 2	1.292	2.266	-2.343	7.362
1594	CYP27B1	cytochrome P450 family 27 subfamily B member 1	1.309	4.232	-1.842	8.881
10677	AVIL	advillin	-1.126	3.762	1.156	4.377
338811	TAFA2	TAFA chemokine like family member 2	-1.048	4.272	1.53	8.993
57460	PPM1H	protein phosphatase, Mg2+/Mn2+ dependent 1H	1.705	8.97	-1.94	12.773
1368	CPM	carboxypeptidase M	-1.236	2.917	1.446	4.304
8549	LGR5	leucine rich repeat containing G protein-coupled receptor 5	2.231	4.889	-2.831	8.445
29953	TRHDE	thyrotropin releasing hormone degrading enzyme	-1.718	4.421	1.829	5.496
22822	PHLDA1	pleckstrin homology like domain family A member 1	2.046	6.788	-3.114	16.923
105369850	LOC105369850	uncharacterized LOC105369850	1.06	2.809	-1.001	2.761
144455	E2F7	E2F transcription factor 7	1.706	6.752	-1.902	9.137
105369890	LOC105369890	uncharacterized LOC105369890	-1.783	2.092	1.969	2.726
100507616	LINC02397	long intergenic non-protein coding RNA 2397	-1.427	2.06	1.973	3.909
57458	TMCC3	transmembrane and coiled-coil domain family 3	-1.468	4.381	1.804	7.123
102465834	MIR7844	microRNA 7844	-1.633	4.446	1.731	5.465
246213	SLC17A8	solute carrier family 17 member 8	-2.61	4.487	1.907	2.874
55010	PARPBP	PARP1 binding protein	1.012	3.263	-1.174	4.75
105369946	LOC105369946	uncharacterized LOC105369946	-1.252	2.174	1.707	4.049
55198	APPL2	adaptor protein, phosphotyrosine interacting with PH domain and leucine zipper 2	-1.183	6.096	1.656	12.767
55530	SVOP	SV2 related protein	-1.666	2.662	3.029	7.807
84983	FAM222A-AS1	FAM222A antisense RNA 1	3.069	7.49	-3.063	8.24
59341	TRPV4	transient receptor potential cation channel subfamily V member 4	1.701	4.627	-2.837	13.6
51228	GLTP	glycolipid transfer protein	-1.031	5.995	1.52	13.895
54997	TESC	tescalcin	2.697	7.531	-3.252	11.941
35	ACADS	acyl-CoA dehydrogenase short chain	-1.309	5.059	1.35	5.935
5025	P2RX4	purinergic receptor P2X 4	-1.001	4.084	1.461	9.124
144406	CFAP251	cilia and flagella associated protein 251	2.071	9.339	-2.546	15.614
254050	LRRC43	leucine rich repeat containing 43	1.478	2.669	-1.382	2.603
